"Time (s)","Sound pressure level (dB)"
6.985164827E2,5.725676843E1
6.986220695E2,5.765381880E1
6.987253815E2,5.854873925E1
6.988271271E2,5.970049393E1
6.989304769E2,5.945590763E1
6.990371194E2,5.938773746E1
6.991425887E2,5.753594166E1
6.992443588E2,5.761592189E1
6.993502149E2,5.726806855E1
6.994553248E2,5.680925717E1
6.995597452E2,5.744089738E1
6.996615527E2,5.658727028E1
6.997642017E2,5.832823439E1
6.998673860E2,5.781328165E1
6.999720535E2,6.093974397E1
7.000753792E2,5.760692758E1
7.001789598E2,5.868492508E1
7.002846655E2,5.944075285E1
7.003881511E2,5.853135597E1
7.004924720E2,5.802063626E1
7.005960850E2,5.848738851E1
7.007012901E2,6.007481093E1
7.008049122E2,5.819975041E1
7.009097691E2,5.703370864E1
7.010117174E2,5.740172357E1
7.011135061E2,5.857477846E1
7.012202889E2,5.798134837E1
7.013269976E2,5.914755896E1
7.014288968E2,5.905705475E1
7.015307265E2,5.855059427E1
7.016373410E2,5.753986632E1
7.017423953E2,5.642884880E1
7.018442643E2,5.715721565E1
7.019506148E2,5.639171543E1
7.020542355E2,5.712611963E1
7.021603767E2,5.587680592E1
7.022634005E2,5.744712849E1
7.023650367E2,5.616523937E1
7.024707385E2,5.630469440E1
7.025714215E2,5.846575718E1
7.026771526E2,5.815935462E1
7.027788610E2,5.892316257E1
7.028808103E2,5.799416537E1
7.029825233E2,5.737655819E1
7.030882996E2,5.558477427E1
7.031901845E2,5.779411460E1
7.032962063E2,5.827506291E1
7.033981306E2,5.768913455E1
7.034999431E2,5.636062426E1
7.036064552E2,5.622517256E1
7.037086875E2,6.140300424E1
7.038134386E2,6.062306884E1
7.039154199E2,5.932676944E1
7.040170971E2,5.681242694E1
7.041234211E2,5.653314519E1
7.042300657E2,6.026419988E1
7.043326712E2,5.781174472E1
7.044343075E2,5.865008120E1
7.045405993E2,5.834280714E1
7.046436046E2,5.733244950E1
7.047480077E2,6.102048658E1
7.048500378E2,5.766397785E1
7.049517933E2,5.694403600E1
7.050580308E2,5.805008683E1
7.051645786E2,5.855022957E1
7.052672064E2,5.740667823E1
7.053689029E2,5.901105454E1
7.054737125E2,6.024813648E1
7.055756604E2,5.808380332E1
7.056822277E2,5.932341759E1
7.057845349E2,5.736761975E1
7.058860980E2,5.652053649E1
7.059909960E2,6.030279050E1
7.060945135E2,5.724546514E1
7.061996562E2,6.072994213E1
7.063018290E2,5.815809194E1
7.064040667E2,6.043117969E1
7.065083157E2,5.924245327E1
7.066148980E2,6.109701486E1
7.067189928E2,5.922211988E1
7.068258366E2,5.816922706E1
7.069303050E2,6.155196669E1
7.070360438E2,5.718518553E1
7.071378293E2,5.770015474E1
7.072442864E2,5.637282717E1
7.073505870E2,5.892585360E1
7.074531730E2,5.843077329E1
7.075575024E2,5.752549292E1
7.076616474E2,6.000916584E1
7.077682307E2,6.142778529E1
7.078703803E2,6.008818682E1
7.079719333E2,5.842826988E1
7.080757064E2,5.762238327E1
7.081782311E2,5.796870182E1
7.082842380E2,5.798728620E1
7.083994244E2,5.842257062E1
7.085026517E2,5.925581952E1
7.086088113E2,5.741325501E1
7.087116365E2,5.683332427E1
7.088182180E2,5.740098821E1
7.089233809E2,5.727989072E1
7.090282600E2,5.765814527E1
7.091347484E2,5.873355277E1
7.092369469E2,5.878595878E1
7.093389229E2,5.800966219E1
7.094449152E2,6.037682521E1
7.095505937E2,5.941074287E1
7.096539438E2,5.862617087E1
7.097576183E2,5.742157858E1
7.098607828E2,5.669269729E1
7.099645266E2,5.715305022E1
7.100710698E2,5.820005052E1
7.101732763E2,5.994904674E1
7.102782783E2,5.902782540E1
7.103810858E2,5.645898505E1
7.104875566E2,5.836362767E1
7.105904810E2,5.729628875E1
7.106949124E2,5.964599256E1
7.107992006E2,5.592184216E1
7.109056408E2,5.707214639E1
7.110116825E2,5.968824224E1
7.111157542E2,5.835559201E1
7.112222271E2,6.089927685E1
7.113282283E2,5.577632831E1
7.114323127E2,5.922639353E1
7.115380045E2,5.787049390E1
7.116398992E2,5.533769660E1
7.117443500E2,5.610337615E1
7.118505740E2,5.744948717E1
7.119569369E2,6.048581765E1
7.120632906E2,5.784785055E1
7.121673503E2,5.727916310E1
7.122738661E2,5.890394689E1
7.123782981E2,5.796428747E1
7.124844240E2,5.751857969E1
7.125909779E2,5.651976349E1
7.126949065E2,5.970392943E1
7.128010689E2,6.005187404E1
7.129036590E2,6.007060111E1
7.130084373E2,5.843829650E1
7.131106033E2,5.602035262E1
7.132121996E2,5.887607505E1
7.133182258E2,5.922606417E1
7.134247402E2,5.748284708E1
7.135278371E2,5.578396870E1
7.136293909E2,5.932526638E1
7.137343528E2,5.907384339E1
7.138358589E2,6.155426350E1
7.139415807E2,5.694528032E1
7.140452020E2,5.704655986E1
7.141506115E2,5.840108026E1
7.142524676E2,6.017751151E1
7.143589300E2,5.847632023E1
7.144624691E2,5.736247616E1
7.145641627E2,6.024415832E1
7.146707835E2,5.902784695E1
7.147773031E2,5.721325976E1
7.148796798E2,5.730726643E1
7.149814070E2,5.621721370E1
7.150875374E2,5.874157325E1
7.152327105E2,5.734329737E1
7.153382800E2,5.954068296E1
7.154399904E2,5.640055171E1
7.155452254E2,5.782848976E1
7.156503514E2,6.001657572E1
7.157511985E2,5.816778000E1
7.158573265E2,5.921667263E1
7.159626123E2,5.791690416E1
7.160662377E2,5.757303945E1
7.161688273E2,5.799914815E1
7.162741268E2,5.832067636E1
7.163798645E2,5.777185359E1
7.164836004E2,5.812170526E1
7.165871740E2,6.011950511E1
7.166937472E2,5.902574693E1
7.167970100E2,5.675597697E1
7.169006422E2,5.904317607E1
7.170068618E2,5.746182126E1
7.171087661E2,5.741899993E1
7.172143677E2,5.764415858E1
7.173164678E2,5.815283473E1
7.174181443E2,5.680992929E1
7.175236838E2,5.711891256E1
7.176263987E2,5.830324612E1
7.177317453E2,5.936179717E1
7.178337581E2,5.935862129E1
7.179355150E2,5.936099023E1
7.180421373E2,5.780024072E1
7.181439652E2,6.163296448E1
7.182505826E2,6.136071704E1
7.183528301E2,5.754348028E1
7.184570973E2,5.743510160E1
7.185597424E2,5.537678821E1
7.186631264E2,5.802728771E1
7.187663715E2,5.655487815E1
7.188685361E2,5.732427466E1
7.189701785E2,5.779443908E1
7.190766969E2,5.704139107E1
7.191782714E2,5.645325593E1
7.192846885E2,5.677722127E1
7.193874383E2,5.857209001E1
7.194940645E2,5.746452341E1
7.196006657E2,5.895151603E1
7.197029781E2,5.635495887E1
7.198045671E2,5.760362528E1
7.199111578E2,5.743318340E1
7.200177173E2,5.778118339E1
7.201216352E2,5.741202928E1
7.202281690E2,5.673093239E1
7.203346917E2,5.770497923E1
7.204372265E2,5.663673372E1
7.205395330E2,5.707062759E1
7.206449050E2,5.598217275E1
7.207505975E2,5.683567898E1
7.208543887E2,5.672131968E1
7.209559910E2,5.937570932E1
7.210615778E2,5.934713527E1
7.211637436E2,5.945547386E1
7.212695776E2,5.951337625E1
7.213717025E2,5.752404526E1
7.214781144E2,5.824702684E1
7.215846667E2,5.858758438E1
7.216887582E2,5.639853992E1
7.217947810E2,5.712620367E1
7.219013690E2,5.632471360E1
7.220058105E2,5.805280083E1
7.221113425E2,5.656122178E1
7.222179433E2,5.817598702E1
7.223228739E2,5.640811924E1
7.224279238E2,6.018918801E1
7.225345381E2,5.881682207E1
7.226379545E2,5.750983465E1
7.227400574E2,5.746704295E1
7.228446503E2,5.646609324E1
7.229505870E2,5.622631947E1
7.230571048E2,5.880080943E1
7.231611481E2,5.704251097E1
7.232637632E2,5.668999857E1
7.233703137E2,5.813550505E1
7.234723058E2,5.766380839E1
7.235779490E2,5.906665542E1
7.236847286E2,5.929603645E1
7.237910242E2,5.944746548E1
7.238943854E2,5.756528009E1
7.240008948E2,5.755139282E1
7.241064074E2,5.917248319E1
7.242109552E2,5.933925964E1
7.243137215E2,6.011862606E1
7.244202658E2,6.031573570E1
7.245236440E2,6.195870126E1
7.246274972E2,6.180720185E1
7.247336591E2,6.081240946E1
7.248394744E2,6.176684447E1
7.249427537E2,6.042297262E1
7.250451618E2,6.195014631E1
7.251620086E2,6.059786063E1
7.252745294E2,6.035093902E1
7.253781020E2,6.292336563E1
7.254832013E2,6.251098125E1
7.255858912E2,6.239470705E1
7.256917748E2,6.128789632E1
7.257953209E2,6.042357987E1
7.258977584E2,6.155590641E1
7.260018093E2,6.096192648E1
7.261083609E2,6.255426079E1
7.262126656E2,6.190808882E1
7.263184609E2,6.119753650E1
7.264249640E2,6.021702950E1
7.265282463E2,5.953136965E1
7.266299553E2,6.023047303E1
7.267357438E2,6.043025057E1
7.268422675E2,6.099277730E1
7.269470698E2,5.980490513E1
7.270497191E2,6.062144799E1
7.271540618E2,6.124869771E1
7.272605501E2,6.041395681E1
7.273626277E2,5.953171075E1
7.274644276E2,6.025036082E1
7.275689892E2,5.965322155E1
7.276713891E2,5.884691827E1
7.277779740E2,5.947089997E1
7.278798960E2,5.804271266E1
7.279816388E2,6.033828768E1
7.280879697E2,6.026264203E1
7.281945044E2,6.130990915E1
7.282970859E2,5.756367048E1
7.283987840E2,5.812750779E1
7.285053231E2,5.851460205E1
7.286115767E2,5.759217157E1
7.287143682E2,5.846194227E1
7.288171183E2,6.035547804E1
7.289237080E2,5.655002030E1
